Date,AAPL,APX,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM
12-06-2014,-0.0167,-0.0034,-0.0142,-0.0188,-0.0152,0.0074,-0.0179,0.0032,-0.0173,-0.0057
13-06-2014,-0.0109,0.0009,0.0008,0.0011,0.0016,0.0091,0.0000,-0.0004,-0.0046,0.0074
16-06-2014,0.0101,-0.0051,0.0019,0.0004,-0.0069,0.0101,0.0060,-0.0002,0.0106,-0.0012
17-06-2014,-0.0013,0.0031,-0.0007,-0.0013,-0.0012,0.0023,-0.0017,0.0143,0.0142,-0.0005
18-06-2014,0.0011,0.0095,0.0002,0.0076,0.0053,0.0113,0.0051,0.0097,0.0086,0.0074
19-06-2014,-0.0035,-0.0051,0.0026,-0.0021,0.0032,0.0131,0.0023,-0.0008,-0.0033,-0.0042
20-06-2014,-0.0103,0.0049,-0.0054,0.0199,0.0049,0.0027,-0.0113,0.0006,-0.0034,-0.0069
23-06-2014,-0.0009,-0.0003,-0.0095,-0.0055,-0.0052,0.0048,-0.0007,0.0024,0.0059,0.0032
24-06-2014,-0.0061,-0.0113,-0.0130,-0.0089,-0.0069,-0.0091,-0.0010,-0.0118,-0.0026,-0.0069
25-06-2014,0.0009,0.0022,-0.0162,0.0058,0.0077,-0.0041,0.0148,0.0009,0.0012,-0.0009
26-06-2014,0.0060,-0.0036,0.0076,0.0007,-0.0028,-0.0024,0.0066,-0.0022,0.0027,-0.0019
27-06-2014,0.0119,0.0067,0.0041,0.0024,0.0020,-0.0043,0.0101,-0.0073,0.0047,0.0074
30-06-2014,0.0103,-0.0006,-0.0102,-0.0010,0.0061,0.0015,0.0052,0.0040,-0.0021,-0.0024
01-07-2014,0.0063,0.0051,0.0072,0.0046,0.0093,-0.0001,0.0085,-0.0038,0.0106,0.0280
02-07-2014,-0.0004,-0.0015,-0.0041,0.0036,-0.0020,-0.0024,-0.0003,0.0005,0.0020,0.0109
03-07-2014,0.0059,0.0066,0.0070,0.0139,0.0064,0.0074,0.0046,0.0154,0.0009,0.0007
07-07-2014,0.0206,-0.0046,0.0045,-0.0083,0.0016,-0.0055,-0.0029,-0.0099,-0.0077,-0.0026
08-07-2014,-0.0064,-0.0087,-0.0178,-0.0064,-0.0063,-0.0044,-0.0084,-0.0171,-0.0081,-0.0044
09-07-2014,0.0004,0.0018,0.0000,0.0062,0.0148,0.0115,0.0158,-0.0015,-0.0004,0.0064
10-07-2014,-0.0037,-0.0030,0.0000,-0.0071,0.0000,-0.0087,-0.0041,-0.0076,-0.0165,-0.0038
11-07-2014,0.0019,0.0001,0.0103,0.0055,0.0031,-0.0137,0.0003,0.0084,0.0026,0.0016
14-07-2014,0.0129,0.0007,0.0112,0.0012,-0.0031,0.0061,-0.0015,0.0133,-0.0019,0.0099
15-07-2014,-0.0117,-0.0010,-0.0032,-0.0022,0.0090,0.0000,-0.0070,0.0130,0.0050,-0.0072
16-07-2014,-0.0057,0.0002,-0.0130,0.0141,0.0121,0.0126,-0.0093,0.0077,-0.0025,0.0205
